Model,Feature Set,Search Method,Dataset,CV Best PR-AUC,Threshold,Precision,Recall,F1,ROC-AUC,PR-AUC,LogLoss,TN,FP,FN,TP
LightGBM,FE,GridSearchCV,Validation,0.6121,0.139,0.3958,0.5429,0.4578,0.7489,0.3938,0.4862,156,29,16,19
LightGBM,FE,GridSearchCV,Test,0.6121,0.139,0.3103,0.5,0.383,0.7191,0.4457,0.5052,145,40,18,18
