Train Size,Train PR-AUC Mean,Train PR-AUC Std,CV PR-AUC Mean,CV PR-AUC Std
137,1.0,0.0,0.46692322658842794,0.0663679927251359
274,1.0,0.0,0.5164574169117445,0.02382966967288145
411,0.9999999999999999,1.1102230246251565e-16,0.5791111578526206,0.016257417841916526
548,1.0,0.0,0.5870910176360057,0.01270621094473078
686,1.0,1.2819751242557092e-16,0.610681495509236,0.013254223763432302
