Threshold,Precision,Recall,F1
0.0007521518982865347,0.1590909090909091,1.0,0.27450980389788543
0.0020727249296712403,0.1598173515981735,1.0,0.27559055115734077
0.0027195779482267163,0.16055045871559634,1.0,0.2766798418733928
0.0029446988514251963,0.16129032258064516,1.0,0.277777777753858
0.0031702486467596594,0.16203703703703703,1.0,0.2788844621273948
0.003253248491553542,0.16279069767441862,1.0,0.27999999997592
0.0036737869920976424,0.16355140186915887,1.0,0.281124497967807
0.0036865803049023795,0.1643192488262911,1.0,0.28225806449188673
0.0038229763055135217,0.1650943396226415,1.0,0.28340080969227494
0.003868589591294503,0.16587677725118483,1.0,0.28455284550404847
0.003961769757750093,0.16666666666666666,1.0,0.2857142856897959
0.003976404236840407,0.1674641148325359,1.0,0.286885245877066
0.004149847661286168,0.16826923076923078,1.0,0.2880658435967417
0.0041897487637622115,0.16908212560386474,1.0,0.28925619832236527
0.004765054995033607,0.16990291262135923,1.0,0.29045643151044237
0.005300366711786562,0.17073170731707318,1.0,0.2916666666417535
0.005915640444485621,0.1715686274509804,1.0,0.29288702926370336
0.006095056299376595,0.1724137931034483,1.0,0.294117647033737
0.006252486771630814,0.17326732673267325,1.0,0.2953586497638555
0.007007759173899741,0.17412935323383086,1.0,0.2966101694662633
0.007453377990089514,0.17,0.9714285714285714,0.2893617021023087
0.007537140364023408,0.1708542713567839,0.9714285714285714,0.29059829057285047
0.007695993675912028,0.1717171717171717,0.9714285714285714,0.2918454935367017
0.008208117473654906,0.17258883248730963,0.9714285714285714,0.2931034482502415
0.008238641328646672,0.17346938775510204,0.9714285714285714,0.2943722943465827
0.008405269315486276,0.17435897435897435,0.9714285714285714,0.2956521738872401
0.008783763459190965,0.17525773195876287,0.9714285714285714,0.2969432314151522
0.009571164203755905,0.17616580310880828,0.9714285714285714,0.2982456140090989
0.009626707054852905,0.17708333333333334,0.9714285714285714,0.29955947133955635
0.009712159526678575,0.17801047120418848,0.9714285714285714,0.3008849557260357
0.010048216042688353,0.17894736842105263,0.9714285714285714,0.30222222219595063
0.01021446955088434,0.17989417989417988,0.9714285714285714,0.30357142854506136
0.010624828666488133,0.18085106382978725,0.9714285714285714,0.3049327353995456
0.01100153656114395,0.18181818181818182,0.9714285714285714,0.306306306279746
0.011593248715533874,0.1827956989247312,0.9714285714285714,0.3076923076656498
0.011618488850872482,0.1837837837837838,0.9714285714285714,0.30909090906415293
0.011906420036545795,0.18478260869565216,0.9714285714285714,0.3105022830781677
0.013988041436637419,0.18579234972677597,0.9714285714285714,0.31192660547763235
0.015091706870425799,0.18681318681318682,0.9714285714285714,0.313364055272484
0.015158110889513262,0.1878453038674033,0.9714285714285714,0.3148148147876586
0.015283431814290723,0.18888888888888888,0.9714285714285714,0.3162790697401839
0.015684732027578863,0.18994413407821228,0.9714285714285714,0.3177570093184339
0.016697462911929556,0.19101123595505617,0.9714285714285714,0.3192488262636161
0.017507959975337623,0.192090395480226,0.9714285714285714,0.32075471695356444
0.01778749457707786,0.19318181818181818,0.9714285714285714,0.32227488148891537
0.019609593688759273,0.19428571428571428,0.9714285714285714,0.32380952378174604
0.020051768415949127,0.19540229885057472,0.9714285714285714,0.32535885164675715
0.02008697227739302,0.19653179190751446,0.9714285714285714,0.32692307689508593
0.020208676506941945,0.19767441860465115,0.9714285714285714,0.32850241543083847
0.02097818895826969,0.19883040935672514,0.9714285714285714,0.3300970873504336
0.021835771512777623,0.2,0.9714285714285714,0.33170731704485423
0.02362516854477898,0.20118343195266272,0.9714285714285714,0.3333333333049068
0.0242415571690683,0.20238095238095238,0.9714285714285714,0.3349753694295906
0.026144575176225454,0.20359281437125748,0.9714285714285714,0.3366336633376875
0.02741380810003246,0.20481927710843373,0.9714285714285714,0.33830845768268114
0.027511722396061252,0.20606060606060606,0.9714285714285714,0.33999999997112496
0.0280952133033901,0.20121951219512196,0.9428571428571428,0.33165829142829734
0.028224517238098767,0.20245398773006135,0.9428571428571428,0.33333333330422915
0.028709740550034658,0.2037037037037037,0.9428571428571428,0.33502538068143983
0.02929710771122492,0.19875776397515527,0.9142857142857143,0.3265306122155612
0.03076672632893234,0.2,0.9142857142857143,0.3282051281756739
0.030909838670788083,0.20125786163522014,0.9142857142857143,0.3298969071869221
0.03162952495643521,0.20253164556962025,0.9142857142857143,0.33160621758688824
0.03310444436410021,0.20382165605095542,0.9142857142857143,0.33333333330352105
0.03387322746921239,0.20512820512820512,0.9142857142857143,0.3350785340014802
0.033894177288579116,0.2064516129032258,0.9142857142857143,0.3368421052331025
0.037469001833912066,0.2077922077922078,0.9142857142857143,0.33862433859416036
0.038700079306459294,0.20915032679738563,0.9142857142857143,0.3404255318845914
0.039442052220173975,0.21052631578947367,0.9142857142857143,0.3422459892743858
0.039587986981558396,0.2119205298013245,0.9142857142857143,0.34408602147482364
0.04047031489933902,0.21333333333333335,0.9142857142857143,0.3459459459152667
0.04362076638009748,0.21476510067114093,0.9142857142857143,0.34782608692571476
0.04526256853256728,0.21621621621621623,0.9142857142857143,0.3497267759253487
0.0466311900670051,0.2108843537414966,0.8857142857142857,0.3406593406282756
0.04748379422520724,0.21232876712328766,0.8857142857142857,0.34254143643289275
0.048010484150727575,0.21379310344827587,0.8857142857142857,0.3444444444131173
0.049189022889315696,0.2152777777777778,0.8857142857142857,0.34636871505233924
0.05103339242507644,0.21678321678321677,0.8857142857142857,0.3483146067099798
0.052339717950523466,0.2112676056338028,0.8571428571428571,0.3389830508157298
0.053050711790630284,0.2127659574468085,0.8571428571428571,0.34090909087722754
0.05434795910962348,0.21428571428571427,0.8571428571428571,0.34285714282514285
0.05463270621278081,0.2158273381294964,0.8571428571428571,0.34482758617475884
0.05463800745053564,0.21739130434782608,0.8571428571428571,0.34682080921627856
0.05498311448502179,0.21897810218978103,0.8571428571428571,0.3488372092699094
0.05577202592071317,0.21323529411764705,0.8285714285714286,0.33918128651715057
0.056097321365655435,0.21481481481481482,0.8285714285714286,0.3411764705555363
0.05635703991952901,0.21641791044776118,0.8285714285714286,0.3431952662393474
0.05635958479802186,0.21804511278195488,0.8285714285714286,0.3452380952051091
0.056866561869038296,0.2196969696969697,0.8285714285714286,0.3473053891884256
0.058634651528467197,0.22137404580152673,0.8285714285714286,0.34939759032816814
0.0587758954758511,0.2230769230769231,0.8285714285714286,0.35151515148172635
0.05952904532274716,0.2248062015503876,0.8285714285714286,0.3536585365517921
0.05967550082187546,0.2265625,0.8285714285714286,0.3558282208251721
0.06081232183138491,0.2283464566929134,0.8285714285714286,0.3580246913241504
0.06247662551208362,0.23015873015873015,0.8285714285714286,0.36024844717094245
0.06440217356269176,0.232,0.8285714285714286,0.3624999999658203
0.06830944069317722,0.23387096774193547,0.8285714285714286,0.3647798741795024
0.06899279189784278,0.23577235772357724,0.8285714285714286,0.3670886075604471
0.06948718352876737,0.23770491803278687,0.8285714285714286,0.36942675155771026
0.06988276608590863,0.2396694214876033,0.8285714285714286,0.3717948717600674
0.07241178117776777,0.23333333333333334,0.8,0.36129032254568155
0.07377557499478228,0.23529411764705882,0.8,0.36363636360123963
0.07501708307351543,0.2288135593220339,0.7714285714285715,0.35294117643530265
0.07580347357188405,0.23076923076923078,0.7714285714285715,0.35526315785928847
0.0760560050692766,0.23275862068965517,0.7714285714285715,0.35761589400412264
0.07738848325746418,0.23478260869565218,0.7714285714285715,0.35999999996422216
0.07762257482928085,0.22807017543859648,0.7428571428571429,0.34899328855465966
0.0778001243615187,0.23008849557522124,0.7428571428571429,0.3513513513152392
0.08171716297953022,0.22321428571428573,0.7142857142857143,0.34013605438548755
0.0840011935313573,0.22522522522522523,0.7142857142857143,0.342465753388206
0.08523721954415149,0.22727272727272727,0.7142857142857143,0.3448275861702735
0.08680628663857172,0.22935779816513763,0.7142857142857143,0.3472222221854263
0.09018649863828303,0.23148148148148148,0.7142857142857143,0.3496503496133796
0.09478301464419416,0.2336448598130841,0.7142857142857143,0.3521126760191926
0.09657091213069659,0.2358490566037736,0.7142857142857143,0.3546099290406921
0.09671519800699267,0.23809523809523808,0.7142857142857143,0.35714285710535715
0.0984982623418681,0.2403846153846154,0.7142857142857143,0.35971223017814813
0.0987139728841956,0.24271844660194175,0.7142857142857143,0.36231884054185043
0.10177383381380987,0.24509803921568626,0.7142857142857143,0.3649635036115935
0.10230365700137455,0.24752475247524752,0.7142857142857143,0.3676470587853049
0.1028811295236895,0.25,0.7142857142857143,0.3703703703319616
0.10322662289245989,0.25252525252525254,0.7142857142857143,0.3731343283196146
0.10339249146136247,0.25510204081632654,0.7142857142857143,0.375939849585279
0.10466152604127439,0.25773195876288657,0.7142857142857143,0.3787878787489095
0.10737336554352978,0.2604166666666667,0.7142857142857143,0.38167938927381856
0.10796764428362582,0.2631578947368421,0.7142857142857143,0.38461538457603545
0.1118169343163835,0.26595744680851063,0.7142857142857143,0.38759689918526535
0.1143573740254695,0.26881720430107525,0.7142857142857143,0.3906249999602661
0.12287414637117446,0.2717391304347826,0.7142857142857143,0.3937007873616467
0.12410211922188363,0.27472527472527475,0.7142857142857143,0.39682539678527334
0.12536114782051858,0.2777777777777778,0.7142857142857143,0.39999999995968
0.12688497133296117,0.2808988764044944,0.7142857142857143,0.40322580641109523
0.12834156289408083,0.2840909090909091,0.7142857142857143,0.40650406499993397
0.1285383115518183,0.28735632183908044,0.7142857142857143,0.4098360655328541
0.12885148487524387,0.29069767441860467,0.7142857142857143,0.4132231404547504
0.13080728038467387,0.29411764705882354,0.7142857142857143,0.41666666662534724
0.14118944519429963,0.2976190476190476,0.7142857142857143,0.4201680671853683
0.14315259895603116,0.30120481927710846,0.7142857142857143,0.42372881351759556
0.14438586374542087,0.3048780487804878,0.7142857142857143,0.4273504273084959
0.1487183010267168,0.30864197530864196,0.7142857142857143,0.43103448271648337
0.1526632869780978,0.3125,0.7142857142857143,0.4347826086533081
0.1536230673258064,0.31645569620253167,0.7142857142857143,0.43859649118551863
0.1565640446318722,0.32051282051282054,0.7142857142857143,0.44247787606343486
0.15736012122117865,0.3246753246753247,0.7142857142857143,0.4464285713856027
0.17057428540742828,0.32894736842105265,0.7142857142857143,0.4504504504072721
