Dataset,Model,Search Method,Selection Metric,Threshold,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,LogLoss
Validation,LightGBM,Optuna,PR-AUC,0.3829,0.3529,0.5143,0.4186,0.7154,0.3812,0.4518
Test,LightGBM,Optuna,PR-AUC,0.3829,0.3667,0.6111,0.4583,0.7938,0.5169,0.4071
