Dataset,Model,Search Method,Selection Metric,Threshold,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,LogLoss
Validation,LightGBM,GridSearchCV,PR-AUC,0.1941,0.3158,0.6857,0.4324,0.705,0.363,0.4562
Test,LightGBM,GridSearchCV,PR-AUC,0.1941,0.3293,0.75,0.4576,0.7899,0.5125,0.3901
