Dataset,Model,Search Method,Selection Metric,Threshold,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,LogLoss
Validation,LightGBM,Optuna,PR-AUC,0.4084,0.3582,0.6857,0.4706,0.7378,0.3925,0.4777
Test,LightGBM,Optuna,PR-AUC,0.4084,0.3729,0.6111,0.4632,0.794,0.5062,0.429
