Dataset,Model,Search Method,Selection Metric,Threshold,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,LogLoss
Validation,LightGBM,GridSearchCV,PR-AUC,0.2152,0.3188,0.6286,0.4231,0.7178,0.4017,0.4377
Test,LightGBM,GridSearchCV,PR-AUC,0.2152,0.3077,0.6667,0.4211,0.7829,0.527,0.3799
